"key","en","de","es","fr","it","pt-br","ja","ko","zh-hans","zh-hant"
"locale.name.de","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch"
"locale.name.en","English","English","English","English","English","English","English","English","English","English"
"locale.name.es","Español","Español","Español","Español","Español","Español","Español","Español","Español","Español"
"locale.name.fr","Français","Français","Français","Français","Français","Français","Français","Français","Français","Français"
"locale.name.it","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano"
"locale.name.ja","日本語","日本語","日本語","日本語","日本語","日本語","日本語","日本語","日本語","日本語"
"locale.name.ko","한국어","한국어","한국어","한국어","한국어","한국어","한국어","한국어","한국어","한국어"
"locale.name.pt-br","Português (Brasil)","Português (Brasil)","Português (Brasil)","Português (Brasil)","Português (Brasil)","Português (Brasil)","Português (Brasil)","Português (Brasil)","Português (Brasil)","Português (Brasil)"
"footer.legal.eula","EULA","EULA","EULA","EULA","EULA","EULA","EULA","EULA","EULA","EULA"
"footer.legal.privacy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy","Privacy Policy"
"footer.social.discord","Discord","Discord","Discord","Discord","Discord","Discord","Discord","Discord","Discord","Discord"
"footer.social.x","X","X","X","X","X","X","X","X","X","X"
"footer.social.youtube","YouTube","YouTube","YouTube","YouTube","YouTube","YouTube","YouTube","YouTube","YouTube","YouTube"
